Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 15:58:00,396.11,396.47,396.01,396.27,69980906.0
2023-06-02 15:59:00,396.27,396.44,396.07,396.14,68820478.0
2023-06-02 16:00:00,396.14,396.33,396.05,396.18,75663474.0
2023-06-02 16:01:00,396.19,396.24,395.81,396.04,73206646.0
2023-06-02 16:02:00,396.05,396.09,395.43,395.65,83571075.0
2023-06-02 16:03:00,395.65,395.72,395.22,395.28,77074030.0
2023-06-02 16:04:00,395.28,395.38,394.885,394.94,80235741.0
2023-06-02 16:05:00,394.94,395.36,394.87,395.25,81453496.0
2023-06-02 16:06:00,395.25,395.49,395.05,395.4500000000001,67511955.0
2023-06-02 16:07:00,395.4500000000001,395.55,394.89,394.9,77554142.0
2023-06-02 16:08:00,394.9,395.2,394.85,395.19,77332650.0
2023-06-02 16:09:00,395.19,395.38,395.06,395.2,74793173.0
2023-06-02 16:10:00,395.2,395.33,394.96,395.09,59443612.0
2023-06-02 16:11:00,395.07,395.65,394.96,395.54,69776852.0
2023-06-02 16:12:00,395.54,395.81,395.12,395.12,76467001.0
2023-06-02 16:13:00,395.205,395.27,394.92,395.23,78927577.0
2023-06-02 16:14:00,395.29,395.41,395.11,395.34,57144753.0
2023-06-02 16:15:00,395.34,395.37,395.12,395.15,61033215.0
2023-06-02 16:16:00,395.15,395.47,395.13,395.47,59767083.0
2023-06-02 16:17:00,395.49,395.64,395.32,395.51,62609115.0
2023-06-02 16:18:00,395.51,395.78,395.5,395.64,68222059.0
2023-06-02 16:19:00,395.64,395.96,395.56,395.91,64561029.0
2023-06-02 16:20:00,395.91,396.66,395.89,396.6,84550553.0
2023-06-02 16:21:00,396.6,396.72,396.53,396.66,71970691.0
2023-06-02 16:22:00,396.66,396.68,396.4,396.51,61367551.0
2023-06-02 16:23:00,396.52,396.58,396.4450000000001,396.455,55078655.0
2023-06-02 16:24:00,396.4450000000001,396.45,396.14,396.24,61219658.0
2023-06-02 16:25:00,396.24,396.49,396.05,396.18,61315337.0
2023-06-02 16:26:00,396.18,396.24,395.91,396.14,55868555.0
2023-06-02 16:27:00,396.14,396.23,396.02,396.04,20869984.0
